reference,author,title,city,editorial,year,catalog
"Neila, Manuel, Volver a Montaigne y otros ensayos. Plasencia, Herratas Ediciones, 2023.",Manuel Neila,Volver a Montaigne y otros ensayos,Plasencia,Herratas Ediciones,2023,2022-2023
"Neila Sánchez, Francisco, Raíces, I y II. Cáceres, Instituto de Teología San Pedro de Alcántara, 1921,1922. NN. 17.167-68. Libro de viajes",Francisco Neila Sánchez,"Raíces, I y II",Cáceres,Instituto de Teología San Pedro de Alcántara,1921,2022-2023
"Nevado Floriano, Merche, Lo que esconden mis cicatrices- Cáceres, Cuatro Hojas, 2023.",Merche Nevado Floriano,Lo que esconden mis cicatrices,Cáceres,Cuatro Hojas,2023,2022-2023
"Nicolás Matera, Santiago, Mistery…Man. Badajoz, Editamás, 2023.",Nicolás Matera,"Santiago, Mistery…Man",Badajoz,Editamás,2023,2022-2023
"Nogales Expósito, Encarna, La casa del camino viejo. Salamanca, Editorial Amarante, 2022. Novela.",Encarna Nogales Expósito,La casa del camino viejo,Salamanca,Editorial Amarante,2022,2022-2023
"Noja, Gabriel, Arte y sentimiento. Badajoz, Fundación CB, 2022.",Gabriel Noja,Arte y sentimiento,Badajoz,Fundación CB,2022,2022-2023
"Núñez Arcos, Maribel, Silencio, se cuenta. Badajoz, Editamás, 2022.",Maribel Núñez Arcos,"Silencio, se cuenta",Badajoz,Editamás,2022,2022-2023
"Núñez Díaz de Terán, Historia de la Díter. Badajoz, Editamás, 2022.",Núñez Díaz de Terán,Historia de la Díter,Badajoz,Editamás,2022,2022-2023
"Núñez Salguero, Laura, El resurgir de las letras. 2023. Colección de relatos cortos.",Laura Núñez Salguero,El resurgir de las letras,,Colección de relatos cortos,2023,2022-2023
"Ojeda Muñoz, Alonso, Crónicas de una década de gloria y pasión 2012-2022: cincuenta años del Club Deportivo Azuaga 1972-2022, Stela Literaria, 2022.",Alonso Ojeda Muñoz,Crónicas de una década de gloria y pasión 2012-2022: cincuenta años del Club Deportivo Azuaga 1972-2022,Stela Literaria,Stela Literaria,2022,2022-2023
"Morón, Juan José, Extremadura, ¿a dónde vas? S.l., autoedición, 2022.",Juan José Morón,"Extremadura, ¿a dónde vas?",S.l.,autoedición,2022,2022-2023
"Moreno, Juan, La leyenda negra de Largo Caballero. Córdoba, Almuzara, 2022. Biografía. Autor extremeño.",Juan Moreno,La leyenda negra de Largo Caballero,Córdoba,Almuzara,2022,2022-2023
"Melón Jiménez, Miguel Ángel, España en la Guerra de los Siete Años. La campaña imposible de Portugal y el Ejército de Prevención (1761-1764). Madrid, Sílex, 2022.",Miguel Ángel Melón Jiménez,España en la Guerra de los Siete Años. La campaña imposible de Portugal y el Ejército de Prevención (1761-1764),Madrid,Sílex,2022,2022-2023
"Moreno, Gabriel, Estabilidad presupuestaria y Constitución. Mérida, Asamblea, 2022.",Gabriel Moreno,Estabilidad presupuestaria y Constitución,Mérida,Asamblea,2022,2022-2023
"Mendoza, Fran Ignacio, Lo que no confesé a Nikola Resla. Prólogo de Jorge Pérez Cebrián. Valencia, OléLibros, 2023.  Poesía",Fran Ignacio Mendoza,Lo que no confesé a Nikola Resla,Valencia,OléLibros,2023,2022-2023
"Menéndez Rey, José Antonio, Entre el silencio y las palabras. Cáceres,  Cuatro hojas, 2022.",José Antonio Menéndez Rey,Entre el silencio y las palabras,Cáceres,Cuatro hojas,2022,2022-2023
"Merino Jerez, Luis y otros, Verbo et opere. Homenaje al profesor César Chaparro. Cáceres, UEX, 2022.",Luis Merino Jerez;otros,Verbo et opere. Homenaje al profesor César Chaparro,Cáceres,UEX,2022,2022-2023
"Mervyn, Samuel, Carmen Ortueta de Salas y el patrimonio histórico español. Badajoz, CB, 2022.",Samuel Mervyn,el patrimonio histórico español,Badajoz,CB,2022,2022-2023
"Mesa Vega, Francisco, La maldición de Spinoza. Madrid, Ondina Ediciones, 2022.",Francisco Mesa Vega,La maldición de Spinoza,Madrid,Ondina Ediciones,2022,2022-2023
"Mira Caballos, Esteban, Barcarrota en el siglo XVII (A través del expediente de donativos de 1637). Barcarrota, Ayuntamiento, 2022",Esteban Mira Caballos,Barcarrota en el siglo XVII (A través del expediente de donativos de 1637),Barcarrota,Ayuntamiento,2022,2022-2023
"Molina Bolaños, José Luis, El refranero castellano. 101 Comentarios. Almería, Círculo Rojo, 2022, 2ª.",José Luis Molina Bolaños,El refranero castellano. 101 Comentarios,Almería,Círculo Rojo,2022,2022-2023
"Molina Bolaños, José Luis, Valdelacalzando. Un paseo histórico, literario y fotográfico por sus calles y plazas.  Almería, Círculo Rojo, 2023.",José Luis Molina Bolaños,"Valdelacalzando. Un paseo histórico, literario y fotográfico por sus calles y plazas",Almería,Círculo Rojo,2023,2022-2023
"Molina Gil, Raúl, ¿Un lugar sin lugar? La poesía de Antonio Méndez Rubio (1988-2005).  Cáceres, UEX, 2022.",Raúl Molina Gil,¿Un lugar sin lugar? La poesía de Antonio Méndez Rubio (1988-2005),Cáceres,UEX,2022,2022-2023
"Molina Lemos, Lucio, Los asentamientos calcolíticos de El Lobo y Granja de Céspedes en Badajoz. Badajoz, Diputación, 2023.",Lucio Molina Lemos,Los asentamientos calcolíticos de El Lobo y Granja de Céspedes en Badajoz,Badajoz,Diputación,2023,2022-2023
"Montero Villarrubia, Demetrio, Raíces. Badajoz, Diputación, 2022.",Demetrio Montero Villarrubia,Raíces,Badajoz,Diputación,2022,2022-2023
"Montero, Francisco, Familias de Jerez de los Caballeros: genealogía a través de los testamentos. (1700-1780). S.l., Kindle Direct, 2022.",Francisco Montero,Familias de Jerez de los Caballeros: genealogía a través de los testamentos,S.l.,Kindle Direct,2022,2022-2023
"Montes, Juan José, Vaciados. El último verano de un pueblo que se resiste a desaparecer. Salamanca, Alamar Libros, 2002. (La España Vaciada: Codosera).",Juan José Montes,Vaciados. El último verano de un pueblo que se resiste a desaparecer,Salamanca,Alamar Libros,2002,2022-2023
"Monzú, Juan, Zallaqa. El  ocaso  aftasí. Badajoz, Editamás, 2022. Novela.",Juan Monzú,Zallaqa. El ocaso aftasí,Badajoz,Editamás,2022,2022-2023
"Mora, María Luisa, Después de la película. Cáceres, Ayuntamiento, 2022.",María Luisa Mora,Después de la película,Cáceres,Ayuntamiento,2022,2022-2023
"Morales, Javier, Monfragüe. Madrid, Tres Hermanas, 2022. Narrativa.",Javier Morales,Monfragüe,Madrid,Tres Hermanas,2022,2022-2023
"Moradiello, Enrique, Santiago López Rodríguez y César Rina Simón, El Holocausto y la España de Franco. Madrid, Turner Publicaciones, 2022.",Enrique Moradiello,El Holocausto y la España de Franco,Madrid,Turner Publicaciones,2022,2022-2023
"Morcillo León, Abel, Lorenzo Valla y los neologismos. Una aproximación al Neologismo en latín desde la Antigüedad al Renacimiento. Cáceres, UEX, 2022.",Abel Morcillo León,Lorenzo Valla y los neologismos. Una aproximación al Neologismo en latín desde la Antigüedad al Renacimiento,Cáceres,UEX,2022,2022-2023
"Moreno, Casimiro, Capturados. Badajoz, Fundación CB, 2023",Casimiro Moreno,Capturados,Badajoz,Fundación CB,2023,2022-2023
"Oliva Fernández, Emilio, Carmen Muñoz Manzano y su tiempo (1906-2022). Mérida, ERE, 2022.",Emilio Oliva Fernández,Carmen Muñoz Manzano y su tiempo (1906-2022),Mérida,ERE,2022,2022-2023
"Oliva García, Emilia, 7 poemas de José Antonio Cáceres. Badajoz, Asociación de Amigos del MEIAC, 2022.",Emilia Oliva García,7 poemas de José Antonio Cáceres,Badajoz,Asociación de Amigos del MEIAC,2022,2022-2023
"Oliveira Martíns, Pedro de, Cartas peninsulares. Traducción y prólogo de César Rina Simón. Cáceres, Universidad de Extremadura, 2022.",Pedro de Oliveira Martíns,Cartas peninsulares,Cáceres,Universidad de Extremadura,2022,2022-2023
"Ortega, Mila, Los suicidios de Victoria Fontaine. Unaria Ediciones, 2023.",Mila Ortega,Los suicidios de Victoria Fontaine,Unaria Ediciones,Unaria Ediciones,2023,2022-2023
"Pecellín Lancharro, Manuel, edición, introducción y notas de Socialismo individualista, de Felipe Trigo. Mérida, ERE, 2022.",Manuel Pecellín Lancharro,Socialismo individualista,Mérida,ERE,2022,2022-2023
"Pedrosa, Julio y Difuso, Patxi, Yayo Buyio. Cáceres, Cuatro Hojas, 2023. Cuento ilustrado.",Julio Pedrosa;Patxi Difuso,Yayo Buyio,Cáceres,Cuatro Hojas,2023,2022-2023
"Pelayo, Cristina, Orden. Mérida, ERE, 2023. Siete relatos reunidos.",Cristina Pelayo,Orden. Siete relatos reunidos,Mérida,ERE,2023,2022-2023
"Peña, Enmanuel, El Tlacuache, Mérida, ERE, 2022.",Enmanuel Peña,El Tlacuache,Mérida,ERE,2022,2022-2023
"-Pereira, Beatriz, Ilustradoras extremeñas: mujeres que dibujan a mujeres. Badajoz, AUPEX, 2022-Pérez Carrasco, Manuel, 50 años redondos: historia del C.D. Guadiana. Badajoz, Diputación, 2022.",Beatriz Pereira,Ilustradoras extremeñas: mujeres que dibujan a mujeres,Badajoz,AUPEX,2022,2022-2023
"Pérez, Javier y otros, El sonido de la biodiversidad. Badajoz, Editamás, 2023.",Javier Pérez;otros,El sonido de la biodiversidad,Badajoz,Editamás,2023,2022-2023
"Pérez Berrocal, Asunción, Vamos a jugar, abuela. Jaraíz de la Vera, Gráficas Romero, 2022",Asunción Pérez Berrocal,"Vamos a jugar, abuela",Jaraíz de la Vera,Gráficas Romero,2022,2022-2023
"Pérez Cabrera, Carmen, Sexo, ruidos y primavera. Granada, Aliar 2015 Ediciones, 2023. Narrativa.",Carmen Pérez Cabrera,"Sexo, ruidos y primavera",Granada,Aliar 2015 Ediciones,2023,2022-2023
"Pérez Fernández, Fernando, Término medio. RIL Editores, 2023",Fernando Pérez Fernández,Término medio,,RIL Editores,2023,2022-2023
"Pérez González, F. Joaquín, La emigración barcarroteña a Alemania. Barcarrota, Ayuntamiento, 2023.",F. Joaquín Pérez González,La emigración barcarroteña a Alemania,Barcarrota,Ayuntamiento,2023,2022-2023
"Pérez González, Francisco Joaquín, Charlotadas en Barcarrota. Barcarrota, Ayuntamiento, 2022",Francisco Joaquín Pérez González,Charlotadas en Barcarrota,Barcarrota,Ayuntamiento,2022,2022-2023
"Pérez Guedejo, José Joaquín, Historia de Almendral: una miscelánea. Badajoz, Diputación, 2023.",José Joaquín Pérez Guedejo,Historia de Almendral: una miscelánea,Badajoz,Diputación,2023,2022-2023
"Pérez Hernández, Juan Carlos, Las alas del silencio. Libros Indie, 2023. Novela Pérez Mena, José Luis y Ramos Rubio, José Antonio, Álvaro Gómez Becerra, político constitucional y constitucionalista. Cáceres, TAU Editores,  2022.",Juan Carlos Pérez Hernández,Las alas del silencio,Libros Indie,Libros Indie,2023,2022-2023
"Pérez Pintor, Jose Manuel y otros, Turismo 2.0 en las comarcas de Sierra de Gata y Las Hurdes (Extremadura).  Cáceres, UEx, 2022.",Jose Manuel Pérez Pintor;otros,Turismo 2.0 en las comarcas de Sierra de Gata y Las Hurdes (Extremadura),Cáceres,UEx,2022,2022-2023
"Pérez Rubio, José Antonio, Ideología y el “atraso” en Extremadura (1940-1986). Del agrarismo a la terciarización. Madrid, Ministerio de Agricultura, 2022",José Antonio Pérez Rubio,Ideología y el “atraso” en Extremadura (1940-1986). Del agrarismo a la terciarización,Madrid,Ministerio de Agricultura,2022,2022-2023
"Pérez Trejo, Francisco, Juegos populares en Barcarrota. Barcarrota, Universidad Popular/Ayuntamiento, 2023.",Francisco Pérez Trejo,Juegos populares en Barcarrota,Barcarrota,Universidad Popular/Ayuntamiento,2023,2022-2023
"Pérez Walias, Javier, Insecto Ámbar. Madrid, Editorial Vaso Roto, 2023. Poesía.",Javier Pérez Walias,Insecto Ámbar,Madrid,Editorial Vaso Roto,2023,2022-2023
"Pina Poveda, José Ramón, Cuaderno (azul) de campo. Cáceres, Cuatro Hojas, 2022.",José Ramón Pina Poveda,Cuaderno (azul) de campo,Cáceres,Cuatro Hojas,2022,2022-2023
"Pinilla García, Alfonso y otros, Pliegos de Yuste, nº 22, 2022. Fundación Academia Europea. “El futuro de Europa: oportunidades ante retos compartidos y globales”.",Alfonso Pinilla García;otros,"Pliegos de Yuste, nº 22",Fundación Academia Europea,,2022,2022-2023
"Pecellín Lancharro, Manuel, Luces de otoño. Madrid, Pigmalión, 2022. Narrativa.",Manuel Pecellín Lancharro,Luces de otoño,Madrid,Pigmalión,2022,2022-2023
"Pecellín Lancharro, Manuel y otros, Diego Hidalgo. Día del Bibliófilo. Trujillo, UBEX, 2022, 19-III",Manuel Pecellín Lancharro;Diego Hidalgo otros,Día del Bibliófilo,Trujillo,UBEX,2022,2022-2023
"Pavón Soldevila, Ignacio, Un soldado extremeño en Ayacucho. El infame manuscrito de José Sepúlveda. Badajoz, Diputación, 2023.  Biografía.",Ignacio Pavón Soldevila,Un soldado extremeño en Ayacucho. El infame manuscrito de José Sepúlveda,Badajoz,Diputación,2023,2022-2023
"Pajuelo, Carlos, Palabras que ayudan a educar. Badajoz, Editamás, 2023.",Carlos Pajuelo,Palabras que ayudan a educar,Badajoz,Editamás,2023,2022-2023
"Ortiz Pérez, Javier, Cáceres ACB: Los años dorados del baloncesto cacereño (1991-2003). Cáceres, Diputación, 2022.",Javier Ortiz Pérez,Cáceres ACB: Los años dorados del baloncesto cacereño (1991-2003),Cáceres,Diputación,2022,2022-2023
"Ortiz Romero, Pablo, Antonio Rodríguez-Moñino. Luces y sombras del mayor bibliógrafo español del siglo XX (Memorias y biografía). Córdoba, Almuzara, 2022.",Pablo Ortiz Romero,Luces y sombras del mayor bibliógrafo español del siglo XX (Memorias y biografía),Córdoba,Almuzara,2022,2022-2023
"Otano Cabo, Pilar, Cuadernos de la otra mirada. Badajoz, Fundación CB, 2022.  Libro de viaje",Pilar Otano Cabo,Cuadernos de la otra mirada,Badajoz,Fundación CB,2022,2022-2023
"Otero, Julita de la Cruz, A ras de las estrellas. Badajoz, Editamás, 2022.",Julita de la Cruz Otero,A ras de las estrellas,Badajoz,Editamás,2022,2022-2023
"Pacheco, Antonio, Nunca encontrarás mi olvido. Badajoz, CB, 2023. Poemario.",Antonio Pacheco,Nunca encontrarás mi olvido,Badajoz,CB,2023,2022-2023
"Pacheco Vicente, Mercedes y otros, Los que nunca se callan. Badajoz, Diputación, 2022.",Mercedes Pacheco Vicente;otros,Los que nunca se callan,Badajoz,Diputación,2022,2022-2023
"Pagador, José María, AbeceImagindario. 50 años de Periodismo  1972-2023. Badajoz, Fundación CB, 2023. Catálogo.",José María Pagador,AbeceImagindario. 50 años de Periodismo 1972-2023,Badajoz,Fundación CB,2023,2022-2023
"Pagador, José María, Susana Leroy. Barcelona, Fundación José Manuel Lara. Novela (768 págs.).",Susana Leroy José María Pagador,Novela,Barcelona,Fundación José Manuel Lara,,2022-2023
"Palacios Sánchez, Benedicto, Entre cerezos. Cáceres, Cuatro Hojas, 2022.",Benedicto Palacios Sánchez,Entre cerezos,Cáceres,Cuatro Hojas,2022,2022-2023
"Pastor, Rodrigo, Grietas para no verte. Editorial Quadrata, 2023. Poesía",Rodrigo Pastor,Grietas para no verte,Editorial Quadrata,Poesía,2023,2022-2023
"Palomeque, Azahara, Vivir peor que nuestros padres. RIL Editores, 2023.",Azahara Palomeque,Vivir peor que nuestros padres,RIL Editores,2023,,2022-2023
"Paniagua, Antonio, Dominios del olvido. Mérida, ERE, 2022. Novela. El autor es de Losar de la Vera (1954).",Antonio Paniagua,Dominios del olvido,Mérida,ERE,2022,2022-2023
"Parcero Collado, Fernando, El Cuartel de Infantería del “Cerro del Teso” en Cáceres. “Infanta Isabel”: un cuartel para un Regimiento y un Regimiento para una ciudad. Badajoz, CB, 2022.",Fernando Parcero Collado,El Cuartel de Infantería del “Cerro del Teso” en Cáceres. “Infanta Isabel”: un cuartel para un Regimiento y un Regimiento para una ciudad,Badajoz,CB,2022,2022-2023
"Paredes, Luis, Rumor vítreo. Cáceres, Diputación, 2022.",Luis Paredes,Rumor vítreo,Cáceres,Diputación,2022,2022-2023
"Parra Carrasco, Sandra, Paréntesis, nº 39.  Badajoz, Centro Penitenciario, abril 2023. Boletín digital.",Sandra Parra Carrasco,Paréntesis,"Badajoz, Centro Penitenciario",Boletín digital,2023,2022-2023
"Parra Vañó, Cristina, La escalera verde. Badajoz, FCB, 2023. Poesía.",Cristina Parra Vañó,La escalera verde,Badajoz,FCB,2023,2022-2023
"Parralejo Rodríguez, Juan Jesús, La Academia de Noviciado. Córdoba, Almuzara, 2022. Novela.",Juan Jesús Parralejo Rodríguez,La Academia de Noviciado,Córdoba,Almuzara,2022,2022-2023
"Pascual Salguero, Pedro José, El exilio guareñense. Badajoz, Diputación, 2023.",Pedro José Pascual Salguero,El exilio guareñense,Badajoz,Diputación,2023,2022-2023
"Méndez, Félix, Hab. 306. Badajoz, Fundación CB, 2023.",Félix Méndez,Hab. 306,Badajoz,Fundación CB,2023,2022-2023
"Meléndez Teodoro, Álvaro, Badajoz, calle a calle. Badajoz, Editamás, 2023.",Álvaro Meléndez Teodoro,"Badajoz, calle a calle",Badajoz,Editamás,2023,2022-2023
"Herrera Roldán, Pedro, introducción, traducción y notas a S. Gregorio de Tours, (ca. 539-594), Historias. Cáceres, UEX, 2022.",Pedro Herrera Roldán,"introducción, traducción y notas a S. Gregorio de Tours, (ca. 539-594), Historias",Cáceres,UEX,2022,2022-2023
"Leyguarda Domínguez, Manuel, La elección de ayuntamiento por la marquesa de Aguiar. Calzadilla de los Barros, Ateneo/Badajoz, Diputación, 2022.",Manuel Leyguarda Domínguez,La elección de ayuntamiento por la marquesa de Aguiar,Calzadilla de los Barros,"Ateneo/Badajoz, Diputación",2022,2022-2023
"Liñán Lafuente, Alfredo, “Patíbulos en Extremadura y los últimos verdugos extremeños”, en Rosario de Vicente y otros (coord.), Geografía de la crueldad. Lugares de ejecución. Valencia, Tirant lo Blanch, 2022.",Alfredo Liñán Lafuente,Patíbulos en Extremadura y los últimos verdugos extremeños,Valencia,Tirant lo Blanch,2022,2022-2023
"Lledó Ruiz, Francisco, El cuadro, Badajoz, Editamás, 2022.",Francisco Lledó Ruiz,El cuadro,Badajoz,Editamás,2022,2022-2023
"Lobato Delgado, Faustino, En el alfabeto del tiempo. Valencia. Olé Libros, 2022. Poesía",Faustino Lobato Delgado,En el alfabeto del tiempo,Valencia,Olé Libros,2022,2022-2023
"Lobato Delgado, Faustino, En el ángulo  incierto del espacio. Badajoz, Diputación, invierno 2022. Poesía",Faustino Lobato Delgado,En el ángulo incierto del espacio,Badajoz,Diputación,2022,2022-2023
"Lobato Delgado, Faustino, La vida en un instante. Badajoz, Cimaprés, 2022. Poesía",Faustino Lobato Delgado,La vida en un instante,Badajoz,Cimaprés,2022,2022-2023
"Lobato, Faustino, Zikaron. Cinco miradas en verso. Cáceres, Letras Cascabeleras, 2022. Poesía.",Faustino Lobato,Zikaron. Cinco miradas en verso,Cáceres,Letras Cascabeleras,2022,2022-2023
"López Ávila, Pilar, La rebelión de las veletas. Mérida, ERE, 2022. Narrativa.  ∫ López Contreras, Elías y Manuel López Fernández, Tentudía. Religiosidad mariana, leyenda, historia, arte. Zafra (imprenta Rayego), autoedición, 2022.",Pilar López Ávila,La rebelión de las veletas,Mérida,ERE,2022,2022-2023
"López, Casimiro, Libro azul. Plasencia, Placeat Plena Inclusión, 2023. Historia ilustrada de esta ONG placentina.",Casimiro López,Libro azul,Plasencia,Placeat Plena Inclusión,2023,2022-2023
"López, Dionisio, Cuando vuelvan los elefantes, Mérida, Editora Regional de Extremadura, 2023. Relatos.",Dionisio López,Cuando vuelvan los elefantes,Mérida,Editora Regional de Extremadura,2023,2022-2023
"López, Dionisio, Los nombres de la nieve. Santiago de Chile/Barcelona,  RIL Ediciones, 2022, 2ª. Autor cacereño (1978). Poemario.",Dionisio López,Los nombres de la nieve,Santiago de Chile/Barcelona,RIL Ediciones,2022,2022-2023
"López, Fernando (coord.), Informe de Seguimiento 2023 de Grandes Proyectos de Desarrollo de Extremadura. Badajoz, Club Senior de Extremadura, 2023.",Fernando López,Informe de Seguimiento 2023 de Grandes Proyectos de Desarrollo de Extremadura,Badajoz,Club Senior de Extremadura,2023,2022-2023
"López Fernández, Dionisio, Cuando vuelvan los elefantes. Epílogo de Luis Landero. Mérida, ERE, 2022.",Dionisio López Fernández,Cuando vuelvan los elefantes,Mérida,ERE,2022,2022-2023
"López González, Antonia, Lo que no conocemos existe. 7 historias para muchas vidas. Italia, 2022. Médica, natural de Guareña, comprometida con la Amazonía.",Antonia López González,Lo que no conocemos existe. 7 historias para muchas vidas,Italia,Médica,2022,2022-2023
"López Ávila, Pilar y Cornejo, Deli, El club de las gallinas cluecas. Madrid, Pigmalión, 2023. Poesía ilustrada-",Pilar López Ávila;Deli Cornejo,El club de las gallinas cluecas,Madrid,Pigmalión,2023,2022-2023
"López Leitón, Antonio Julio, La sociedad obrera ""El Alba del Nuevo Día"" y el 1º de mayo en Alconchel (1901-1932). Badajoz, Diputación, 2022.",Antonio Julio López Leitón,"La sociedad obrera ""El Alba del Nuevo Día"" y el 1º de mayo en Alconchel (1901-1932)",Badajoz,Diputación,2022,2022-2023
"López López, Teodoro, El archivo de la santa iglesia Catedral. Badajoz, Fundación CB, 2022.",Teodoro López López,El archivo de la santa iglesia Catedral,Badajoz,Fundación CB,2022,2022-2023
"López Ramos, Victor María y otros, Bienestar psicológico y salud mental del estudiantado de la UEX. Cáceres, UEX, 2023.		Descargar ejemplar Lorenzana de la Puente, Felipe y Ascacíbar Mateos, Francisco (coords.), XXI Jornadas de Historia en Llerena. Instrumentalización del arte a lo largo de la Historia- Llerena, Sociedad Extremeña de Historia, 2022",Felipe Lorenzana de la Puente;Francisco Ascacíbar Mateos,XXI Jornadas de Historia en Llerena. Instrumentalización del arte a lo largo de la Historia,Llerena,Sociedad Extremeña de Historia,2022,2022-2023
"Lozano Bartolozzi, María del Mar y otros, Arte y territorio: los paisajes culturales extremeños. Mérida, Consejería de Cultura y otras. 2023.",María del Mar Lozano Bartolozzi;otros,Arte y territorio: los paisajes culturales extremeños,Mérida,Consejería de Cultura y otras,2023,2022-2023
"Lozano Bartolozzi, María del Mar (coord.), El patrimonio de las obras públicas. Del puente Romano e nº 176Alcántara al diálogo con la actualidad, Madrid, Pigmalión/Trujillo, R. Academia de Extremadura, 2022. Lozano Merino, Juan José, Mi perrita Blanca. [S. l.], Letras Minúsculas, 2022.",María del Mar Lozano Bartolozzi,El patrimonio de las obras públicas. Del puente Romano de Alcántara al diálogo con la actualidad,Madrid,"Pigmalión/Trujillo, R. Academia de Extremadura",2022,2022-2023
"Liano, Álvaro Agustín de, Observaciones y noticias críticas sobre la literatura portuguesa… 1830. Barcarrota, Ayuntamiento, 2023",Álvaro Agustín de Liano,Observaciones y noticias críticas sobre la literatura portuguesa,Barcarrota,Ayuntamiento,2023,2022-2023
"Leo Hernández, Pedro, Alland bajo el enigma de Heihe. Madrid,  Letrame, 2023",Pedro Leo Hernández,Alland bajo el enigma de Heihe,Madrid,Letrame,2023,2022-2023
"Medrano, Carlos (coord.), Recobrada memoria: a Ángel Campos. Don Benito, Vberitas, 2022.",Carlos Medrano,Recobrada memoria: a Ángel Campos,Don Benito,Vberitas,2022,2022-2023
"Ledesma Núñez, Vicente, Sombras y luces. Badajoz, Editamás, 2022.",Vicente Ledesma Núñez,Sombras y luces,Badajoz,Editamás,2022,2022-2023
"Herrera, Rafael, Remanente del tiempo, la memoria. Cáceres, Asociación Cultural Letras Cascabeleras, 2022.",Rafael Herrera,"Remanente del tiempo, la memoria",Cáceres,Asociación Cultural Letras Cascabeleras,2022,2022-2023
"AA.VV | Anuario de la Facultad de Derecho. Universidad de Extremadura, número 38 (2022), dedica su Monográfico al tema Guerra y paz: el ámbito estructural del derecho y sus límites | Cáceres | UEX | 2023.",AA.VV,"Anuario de la Facultad de Derecho. Universidad de Extremadura, número 38 (2022), dedica su Monográfico al tema Guerra y paz: el ámbito estructural del derecho y sus límites",Cáceres,UEX,2023,2022-2023
"Hinchado, José Luis , Transmudaciones. Badajoz, Indugrafic Digital, 2022.",José Luis Hinchado,Transmudaciones,Badajoz,Indugrafic Digital,2022,2022-2023
"Hinchado Alba, José Antonio, Las vías pecuarias de Barcarrota. Cañadas, cordeles, veredas y coladas. Barcarrota, Ayuntamiento, 2022",José Antonio Hinchado Alba,"Las vías pecuarias de Barcarrota. Cañadas, cordeles, veredas y coladas",Barcarrota,Ayuntamiento,2022,2022-2023
"Hurtado Simó, Ricardo, Educando en igualdad. Sevilla, Alfar, 2022.  Ensayo",Ricardo Hurtado Simó,Educando en igualdad,Sevilla,Alfar,2022,2022-2023
"Ibáñez, Cora, El ámbar de la luna en el cuarto menguante. Cáceres, Letras Cascabeleras, 2022. Poesía. Autora cacereña.",Cora Ibáñez,El ámbar de la luna en el cuarto menguante,Cáceres,Letras Cascabeleras,2022,2022-2023
"Ibáñez Cora (coord.), Escritos en la tarde. Cáceres, Asociación Cultural Letras Cascabeleras, 2022.",Ibáñez Cora,Escritos en la tarde,Cáceres,Asociación Cultural Letras Cascabeleras,2022,2022-2023
"Iglesias Benítez, José, Obras poéticas publicadas. Madrid, Beturia, 2022. Prólogo de Pablo Jiménez García.  Epílogo de Juan Carlos Rodríguez Búrdalo",José Iglesias Benítez,Obras poéticas publicadas,Madrid,Beturia,2022,2022-2023
